Month,FY,Store,Metric,Amount,AmountUnit
2021-May,FY 2021-22,IHY,GST,0.47,Rs. Lakhs
2021-May,FY 2021-22,HAA,GST,0.19,Rs. Lakhs
2021-May,FY 2021-22,SCH,GST,0.2,Rs. Lakhs
2021-May,FY 2021-22,KOR,Net Sales,8.19,Rs. Lakhs
2021-May,FY 2021-22,INB,Net Sales,17.63,Rs. Lakhs
2021-May,FY 2021-22,DIV,Net Sales,15.16,Rs. Lakhs
2021-May,FY 2021-22,IND,Net Sales,17.32,Rs. Lakhs
2021-May,FY 2021-22,ARK,Net Sales,15.43,Rs. Lakhs
2021-May,FY 2021-22,SIG,Net Sales,6.1,Rs. Lakhs
2021-May,FY 2021-22,HSR,Net Sales,17.31,Rs. Lakhs
2021-May,FY 2021-22,SJP,Net Sales,21.36,Rs. Lakhs
2021-May,FY 2021-22,ORW,Net Sales,8.66,Rs. Lakhs
2021-May,FY 2021-22,EST,Net Sales,9.89,Rs. Lakhs
2021-May,FY 2021-22,ORE,Net Sales,7.47,Rs. Lakhs
2021-May,FY 2021-22,JPN,Net Sales,18.61,Rs. Lakhs
2021-May,FY 2021-22,SYH,Net Sales,16.57,Rs. Lakhs
2021-May,FY 2021-22,VBP,Net Sales,13.74,Rs. Lakhs
2021-May,FY 2021-22,SKC,Net Sales,7.55,Rs. Lakhs
2021-May,FY 2021-22,IHY,Net Sales,9.42,Rs. Lakhs
2021-May,FY 2021-22,HAA,Net Sales,3.87,Rs. Lakhs
2021-May,FY 2021-22,SCH,Net Sales,3.91,Rs. Lakhs
2021-May,FY 2021-22,EGL,COGS (food +packaging),,Rs. Lakhs
2021-May,FY 2021-22,RMZ,COGS (food +packaging),,Rs. Lakhs
2021-May,FY 2021-22,KOR,COGS (food +packaging),3.03,Rs. Lakhs
2021-May,FY 2021-22,INB,COGS (food +packaging),6.49,Rs. Lakhs
2021-May,FY 2021-22,DIV,COGS (food +packaging),5.62,Rs. Lakhs
2021-May,FY 2021-22,IND,COGS (food +packaging),6.8,Rs. Lakhs
2021-May,FY 2021-22,MTP,COGS (food +packaging),,Rs. Lakhs
2021-May,FY 2021-22,ARK,COGS (food +packaging),5.73,Rs. Lakhs
2021-May,FY 2021-22,SIG,COGS (food +packaging),2.06,Rs. Lakhs
2021-May,FY 2021-22,HSR,COGS (food +packaging),6.46,Rs. Lakhs
2021-May,FY 2021-22,SJP,COGS (food +packaging),7.75,Rs. Lakhs
2021-May,FY 2021-22,ORW,COGS (food +packaging),2.68,Rs. Lakhs
2021-May,FY 2021-22,EST,COGS (food +packaging),3.36,Rs. Lakhs
2021-May,FY 2021-22,ORE,COGS (food +packaging),2.73,Rs. Lakhs
2021-May,FY 2021-22,JPN,COGS (food +packaging),6.21,Rs. Lakhs
2021-May,FY 2021-22,SYH,COGS (food +packaging),6.51,Rs. Lakhs
2021-May,FY 2021-22,VBP,COGS (food +packaging),5.02,Rs. Lakhs
2021-May,FY 2021-22,SKC,COGS (food +packaging),3.35,Rs. Lakhs
2021-May,FY 2021-22,IHY,COGS (food +packaging),3.19,Rs. Lakhs
2021-May,FY 2021-22,HAA,COGS (food +packaging),1.59,Rs. Lakhs
2021-May,FY 2021-22,SCH,COGS (food +packaging),1.51,Rs. Lakhs
2021-May,FY 2021-22,ITPL,store Labor Cost,0.08,Rs. Lakhs
2021-May,FY 2021-22,KOR,store Labor Cost,1.71,Rs. Lakhs
2021-May,FY 2021-22,INB,store Labor Cost,1.84,Rs. Lakhs
2021-May,FY 2021-22,DIV,store Labor Cost,2.08,Rs. Lakhs
2021-May,FY 2021-22,IND,store Labor Cost,2.15,Rs. Lakhs
2021-May,FY 2021-22,MAN,store Labor Cost,0.11,Rs. Lakhs
2021-May,FY 2021-22,ARK,store Labor Cost,1.96,Rs. Lakhs
2021-May,FY 2021-22,SIG,store Labor Cost,1.64,Rs. Lakhs
2021-May,FY 2021-22,HSR,store Labor Cost,2.27,Rs. Lakhs
2021-May,FY 2021-22,SJP,store Labor Cost,2.78,Rs. Lakhs
2021-May,FY 2021-22,ORW,store Labor Cost,1.39,Rs. Lakhs
2021-May,FY 2021-22,EST,store Labor Cost,1.48,Rs. Lakhs
2021-May,FY 2021-22,ORE,store Labor Cost,1.54,Rs. Lakhs
2021-May,FY 2021-22,JPN,store Labor Cost,1.9,Rs. Lakhs
2021-May,FY 2021-22,SYH,store Labor Cost,1.6,Rs. Lakhs
2021-May,FY 2021-22,VBP,store Labor Cost,1.94,Rs. Lakhs
2021-May,FY 2021-22,SKC,store Labor Cost,1.68,Rs. Lakhs
2021-May,FY 2021-22,IHY,store Labor Cost,1.69,Rs. Lakhs
2021-May,FY 2021-22,HAA,store Labor Cost,1.45,Rs. Lakhs
2021-May,FY 2021-22,SCH,store Labor Cost,1.2,Rs. Lakhs
2021-May,FY 2021-22,ITPL,Utility Cost,0.05,Rs. Lakhs
2021-May,FY 2021-22,RMZ,Utility Cost,0.1,Rs. Lakhs
2021-May,FY 2021-22,KOR,Utility Cost,0.71,Rs. Lakhs
2021-May,FY 2021-22,INB,Utility Cost,0.5,Rs. Lakhs
2021-May,FY 2021-22,DIV,Utility Cost,1.31,Rs. Lakhs
2021-May,FY 2021-22,IND,Utility Cost,0.96,Rs. Lakhs
2021-May,FY 2021-22,MAN,Utility Cost,0.05,Rs. Lakhs
2021-May,FY 2021-22,ETV,Utility Cost,0.05,Rs. Lakhs
2021-May,FY 2021-22,ARK,Utility Cost,1.15,Rs. Lakhs
2021-May,FY 2021-22,SIG,Utility Cost,0.65,Rs. Lakhs
2021-May,FY 2021-22,HSR,Utility Cost,0.96,Rs. Lakhs
2021-May,FY 2021-22,SJP,Utility Cost,1.13,Rs. Lakhs
2021-May,FY 2021-22,ORW,Utility Cost,1.01,Rs. Lakhs
2021-May,FY 2021-22,EST,Utility Cost,0.95,Rs. Lakhs
2021-May,FY 2021-22,ORE,Utility Cost,0.67,Rs. Lakhs
