Metric,Store,Month-Year,FY,Amount (in lakhs)
COGS (food +packaging),HAA,April 2021,FY22,2.73
store Labor Cost,HAA,April 2021,FY22,1.61
Utility Cost,HAA,April 2021,FY22,1.18
Rent,HAA,April 2021,FY22,1.42
CAM,HAA,April 2021,FY22,0.53
Aggregator commission,HAA,April 2021,FY22,
Marketing & advertisement,HAA,April 2021,FY22,0.41
Gross Sales,SCH,April 2021,FY22,4.17
GST,SCH,April 2021,FY22,0.2
Net Sales,SCH,April 2021,FY22,3.97
COGS (food +packaging),SCH,April 2021,FY22,1.62
store Labor Cost,SCH,April 2021,FY22,1.62
Utility Cost,SCH,April 2021,FY22,0.38
Rent,SCH,April 2021,FY22,0.47
CAM,SCH,April 2021,FY22,0.24
Aggregator commission,SCH,April 2021,FY22,0.02
Marketing & advertisement,SCH,April 2021,FY22,0.41
Gross Sales,EGL,May 2021,FY22,
GST,EGL,May 2021,FY22,0.0
Net Sales,EGL,May 2021,FY22,0.0
COGS (food +packaging),EGL,May 2021,FY22,0.0
store Labor Cost,EGL,May 2021,FY22,0.0
Utility Cost,EGL,May 2021,FY22,0.0
Rent,EGL,May 2021,FY22,
CAM,EGL,May 2021,FY22,
Aggregator commission,EGL,May 2021,FY22,
Marketing & advertisement,EGL,May 2021,FY22,
Gross Sales,ITPL,May 2021,FY22,
GST,ITPL,May 2021,FY22,0.0
Net Sales,ITPL,May 2021,FY22,0.0
COGS (food +packaging),ITPL,May 2021,FY22,0.0
store Labor Cost,ITPL,May 2021,FY22,0.08
Utility Cost,ITPL,May 2021,FY22,0.05
Rent,ITPL,May 2021,FY22,0.08
CAM,ITPL,May 2021,FY22,0.0
Aggregator commission,ITPL,May 2021,FY22,-0.0
Marketing & advertisement,ITPL,May 2021,FY22,0.0
Gross Sales,RMZ,May 2021,FY22,
GST,RMZ,May 2021,FY22,0.0
Net Sales,RMZ,May 2021,FY22,0.0
COGS (food +packaging),RMZ,May 2021,FY22,-0.0
store Labor Cost,RMZ,May 2021,FY22,0.0
Utility Cost,RMZ,May 2021,FY22,0.1
Rent,RMZ,May 2021,FY22,0.0
CAM,RMZ,May 2021,FY22,0.13
Aggregator commission,RMZ,May 2021,FY22,0.0
Marketing & advertisement,RMZ,May 2021,FY22,
Gross Sales,KOR,May 2021,FY22,8.6
GST,KOR,May 2021,FY22,0.41
Net Sales,KOR,May 2021,FY22,8.19
COGS (food +packaging),KOR,May 2021,FY22,3.03
store Labor Cost,KOR,May 2021,FY22,1.71
Utility Cost,KOR,May 2021,FY22,0.71
Rent,KOR,May 2021,FY22,0.71
CAM,KOR,May 2021,FY22,
Aggregator commission,KOR,May 2021,FY22,1.83
Marketing & advertisement,KOR,May 2021,FY22,0.27
Gross Sales,INB,May 2021,FY22,18.51
GST,INB,May 2021,FY22,0.88
Net Sales,INB,May 2021,FY22,17.63
COGS (food +packaging),INB,May 2021,FY22,6.49
store Labor Cost,INB,May 2021,FY22,1.84
Utility Cost,INB,May 2021,FY22,0.5
Rent,INB,May 2021,FY22,1.12
CAM,INB,May 2021,FY22,0.16
Aggregator commission,INB,May 2021,FY22,3.94
Marketing & advertisement,INB,May 2021,FY22,0.61
Gross Sales,DIV,May 2021,FY22,15.92
GST,DIV,May 2021,FY22,0.76
Net Sales,DIV,May 2021,FY22,15.16
COGS (food +packaging),DIV,May 2021,FY22,5.62
store Labor Cost,DIV,May 2021,FY22,2.08
Utility Cost,DIV,May 2021,FY22,1.31
Rent,DIV,May 2021,FY22,0.51
CAM,DIV,May 2021,FY22,0.14
Aggregator commission,DIV,May 2021,FY22,3.37
Marketing & advertisement,DIV,May 2021,FY22,0.68
Gross Sales,IND,May 2021,FY22,18.19
GST,IND,May 2021,FY22,0.87
Net Sales,IND,May 2021,FY22,17.32
COGS (food +packaging),IND,May 2021,FY22,6.8
store Labor Cost,IND,May 2021,FY22,2.15
Utility Cost,IND,May 2021,FY22,0.96
Rent,IND,May 2021,FY22,1.1
CAM,IND,May 2021,FY22,0.0
Aggregator commission,IND,May 2021,FY22,3.91
Marketing & advertisement,IND,May 2021,FY22,0.92
Gross Sales,BAG,May 2021,FY22,
GST,BAG,May 2021,FY22,0.0
Net Sales,BAG,May 2021,FY22,0.0
COGS (food +packaging),BAG,May 2021,FY22,0.0
store Labor Cost,BAG,May 2021,FY22,0.0
Utility Cost,BAG,May 2021,FY22,0.0
Rent,BAG,May 2021,FY22,0.0
CAM,BAG,May 2021,FY22,
Aggregator commission,BAG,May 2021,FY22,
